# 2theta	intensity
7.060648438102246072e-01 0.000000000000000000e+00
7.163853605844289207e-01 0.000000000000000000e+00
7.267058773586332343e-01 0.000000000000000000e+00
7.370263941328374369e-01 0.000000000000000000e+00
7.473469109070418614e-01 0.000000000000000000e+00
7.576674276812461750e-01 0.000000000000000000e+00
7.679879444554503776e-01 0.000000000000000000e+00
7.783084612296548022e-01 0.000000000000000000e+00
7.886289780038590047e-01 0.000000000000000000e+00
7.989494947780632073e-01 0.000000000000000000e+00
8.092700115522676318e-01 0.000000000000000000e+00
8.195905283264718344e-01 0.000000000000000000e+00
8.299110451006760369e-01 0.000000000000000000e+00
8.402315618748804615e-01 0.000000000000000000e+00
8.505520786490846641e-01 0.000000000000000000e+00
8.608725954232889777e-01 0.000000000000000000e+00
8.711931121974934022e-01 0.000000000000000000e+00
8.815136289716976048e-01 0.000000000000000000e+00
8.918341457459018073e-01 0.000000000000000000e+00
9.021546625201062319e-01 0.000000000000000000e+00
9.124751792943102124e-01 3.503865478515625000e+03
9.227956960685146370e-01 3.614135253906250000e+03
9.331162128427190616e-01 3.737235595703125000e+03
9.434367296169231532e-01 3.707194335937500000e+03
9.537572463911275777e-01 3.767051757812500000e+03
9.640777631653320023e-01 3.830050292968750000e+03
9.743982799395359828e-01 3.927144775390625000e+03
9.847187967137404074e-01 3.997840576171875000e+03
9.950393134879448320e-01 4.088051757812500000e+03
1.005359830262148924e+00 4.158264160156250000e+03
1.015680347036353348e+00 4.204647460937500000e+03
1.026000863810557773e+00 4.254173339843750000e+03
1.036321380584761753e+00 4.298488769531250000e+03
1.046641897358966178e+00 4.342357421875000000e+03
1.056962414133170602e+00 4.382580566406250000e+03
1.067282930907374583e+00 4.413426269531250000e+03
1.077603447681579008e+00 4.448029296875000000e+03
1.087923964455783432e+00 4.498750488281250000e+03
1.098244481229987413e+00 4.536796875000000000e+03
1.108564998004191837e+00 4.554238281250000000e+03
1.118885514778396262e+00 4.568453125000000000e+03
1.129206031552600242e+00 4.613497558593750000e+03
1.139526548326804667e+00 4.743256835937500000e+03
1.149847065101009091e+00 4.985972167968750000e+03
1.160167581875213072e+00 5.429475097656250000e+03
1.170488098649417497e+00 6.107843750000000000e+03
1.180808615423621921e+00 7.182111328125000000e+03
1.191129132197826124e+00 8.933145507812500000e+03
1.201449648972030548e+00 1.131361718750000000e+04
1.211770165746234751e+00 1.501570214843750000e+04
1.222090682520439175e+00 1.951418945312500000e+04
1.232411199294643378e+00 2.593699218750000000e+04
1.242731716068847803e+00 3.264884570312500000e+04
1.253052232843052005e+00 4.098464843750000000e+04
1.263372749617256208e+00 4.913500390625000000e+04
1.273693266391460632e+00 5.797214453125000000e+04
1.284013783165664835e+00 6.648359375000000000e+04
1.294334299939869037e+00 7.577496875000000000e+04
1.304654816714073462e+00 8.428994531250000000e+04
1.314975333488277665e+00 9.309077343750000000e+04
1.325295850262481867e+00 1.022579453125000000e+05
1.335616367036686292e+00 1.113268671875000000e+05
1.345936883810890494e+00 1.197844531250000000e+05
1.356257400585094697e+00 1.274642968750000000e+05
1.366577917359299121e+00 1.349678906250000000e+05
1.376898434133503324e+00 1.421869687500000000e+05
1.387218950907707526e+00 1.491826093750000000e+05
1.397539467681911951e+00 1.553470937500000000e+05
1.407859984456116376e+00 1.618806406250000000e+05
1.418180501230320578e+00 1.673866250000000000e+05
1.428501018004525003e+00 1.725836250000000000e+05
1.438821534778729205e+00 1.764828593750000000e+05
1.449142051552933408e+00 1.805103593750000000e+05
1.459462568327137832e+00 1.844669062500000000e+05
1.469783085101342035e+00 1.881082812500000000e+05
1.480103601875546238e+00 1.912027812500000000e+05
1.490424118649750662e+00 1.936412500000000000e+05
1.500744635423955087e+00 1.957874531250000000e+05
1.511065152198159067e+00 1.975576562500000000e+05
1.521385668972363492e+00 1.986105937500000000e+05
1.531706185746567916e+00 1.988492812500000000e+05
1.542026702520771897e+00 1.991685000000000000e+05
1.552347219294976322e+00 1.986605000000000000e+05
1.562667736069180746e+00 1.982148125000000000e+05
1.572988252843384727e+00 1.970924687500000000e+05
1.583308769617589151e+00 1.951470312500000000e+05
1.593629286391793576e+00 1.930665000000000000e+05
1.603949803165997778e+00 1.903976093750000000e+05
1.614270319940202203e+00 1.881445625000000000e+05
1.624590836714406406e+00 1.855153593750000000e+05
1.634911353488610608e+00 1.830177812500000000e+05
1.645231870262815033e+00 1.799363437500000000e+05
1.655552387037019457e+00 1.767346406250000000e+05
1.665872903811223438e+00 1.737442656250000000e+05
1.676193420585427862e+00 1.709190312500000000e+05
1.686513937359632287e+00 1.682657031250000000e+05
1.696834454133836267e+00 1.653260781250000000e+05
1.707154970908040692e+00 1.624423125000000000e+05
1.717475487682245117e+00 1.597973125000000000e+05
1.727796004456449097e+00 1.572536093750000000e+05
1.738116521230653522e+00 1.547223125000000000e+05
1.748437038004857946e+00 1.524800625000000000e+05
1.758757554779061927e+00 1.498128906250000000e+05
1.769078071553266351e+00 1.476849687500000000e+05
1.779398588327470776e+00 1.457053125000000000e+05
1.789719105101674979e+00 1.434552187500000000e+05
1.800039621875879625e+00 1.411200000000000000e+05
1.810360138650083606e+00 1.392010937500000000e+05
1.820680655424288030e+00 1.369262968750000000e+05
1.831001172198492455e+00 1.347375156250000000e+05
1.841321688972696657e+00 1.323589843750000000e+05
1.851642205746901082e+00 1.299768750000000000e+05
1.861962722521105507e+00 1.279050234375000000e+05
1.872283239295309487e+00 1.259566718750000000e+05
1.882603756069513912e+00 1.238321875000000000e+05
1.892924272843718336e+00 1.214649375000000000e+05
1.903244789617922317e+00 1.191429531250000000e+05
1.913565306392126741e+00 1.169901953125000000e+05
1.923885823166331166e+00 1.151503906250000000e+05
1.934206339940535146e+00 1.134621171875000000e+05
1.944526856714739571e+00 1.117761718750000000e+05
1.954847373488943996e+00 1.096621484375000000e+05
1.965167890263147976e+00 1.078888437500000000e+05
1.975488407037352401e+00 1.062251718750000000e+05
1.985808923811556825e+00 1.047379687500000000e+05
1.996129440585760806e+00 1.032367031250000000e+05
2.006449957359965452e+00 1.017927890625000000e+05
2.016770474134169877e+00 1.002537812500000000e+05
2.027090990908373858e+00 9.881587500000000000e+04
2.037411507682578282e+00 9.744767968750000000e+04
2.047732024456782707e+00 9.612173437500000000e+04
2.058052541230986687e+00 9.474779687500000000e+04
2.068373058005191112e+00 9.329121093750000000e+04
2.078693574779395536e+00 9.195682812500000000e+04
2.089014091553599517e+00 9.066052343750000000e+04
2.099334608327803942e+00 8.937913281250000000e+04
2.109655125102008366e+00 8.818042968750000000e+04
2.119975641876212347e+00 8.715373437500000000e+04
2.130296158650416771e+00 8.614034375000000000e+04
2.140616675424621196e+00 8.490720312500000000e+04
2.150937192198825176e+00 8.377835156250000000e+04
2.161257708973029601e+00 8.269617968750000000e+04
2.171578225747234026e+00 8.165407031250000000e+04
2.181898742521438006e+00 8.062132812500000000e+04
2.192219259295642431e+00 7.960559375000000000e+04
2.202539776069846855e+00 7.861610156250000000e+04
2.212860292844050836e+00 7.772131250000000000e+04
2.223180809618255260e+00 7.674975781250000000e+04
2.233501326392459685e+00 7.573306250000000000e+04
2.243821843166663665e+00 7.499985937500000000e+04
2.254142359940868090e+00 7.415064843750000000e+04
2.264462876715072515e+00 7.308694531250000000e+04
2.274783393489276495e+00 7.204408593750000000e+04
2.285103910263480920e+00 7.127973437500000000e+04
2.295424427037685344e+00 7.060034375000000000e+04
2.305744943811889325e+00 6.980731250000000000e+04
2.316065460586093749e+00 6.881204687500000000e+04
2.326385977360298174e+00 6.804725781250000000e+04
2.336706494134502599e+00 6.736500000000000000e+04
2.347027010908707023e+00 6.655321093750000000e+04
2.357347527682911448e+00 6.576802343750000000e+04
2.367668044457115428e+00 6.499674218750000000e+04
2.377988561231319853e+00 6.423739453125000000e+04
2.388309078005524277e+00 6.349273437500000000e+04
2.398629594779728258e+00 6.294846875000000000e+04
2.408950111553933127e+00 6.236059765625000000e+04
2.419270628328137107e+00 6.175426562500000000e+04
2.429591145102341088e+00 6.096784375000000000e+04
2.439911661876545956e+00 6.025910546875000000e+04
2.450232178650749937e+00 5.963132031250000000e+04
2.460552695424953917e+00 5.902816015625000000e+04
2.470873212199158786e+00 5.840911718750000000e+04
2.481193728973362767e+00 5.787996484375000000e+04
2.491514245747566747e+00 5.732604687500000000e+04
2.501834762521771616e+00 5.667250000000000000e+04
2.512155279295975596e+00 5.604929687500000000e+04
2.522475796070179577e+00 5.550713281250000000e+04
2.532796312844384445e+00 5.482529296875000000e+04
2.543116829618588426e+00 5.421885546875000000e+04
2.553437346392792406e+00 5.379940625000000000e+04
2.563757863166997275e+00 5.330560937500000000e+04
2.574078379941201256e+00 5.273822265625000000e+04
2.584398896715405236e+00 5.224149218750000000e+04
2.594719413489610105e+00 5.180811718750000000e+04
2.605039930263814085e+00 5.128084375000000000e+04
2.615360447038018066e+00 5.079691406250000000e+04
2.625680963812222934e+00 5.028924609375000000e+04
2.636001480586426915e+00 4.989505859375000000e+04
2.646321997360630895e+00 4.945868359375000000e+04
2.656642514134835764e+00 4.896575000000000000e+04
2.666963030909039745e+00 4.851367578125000000e+04
2.677283547683243725e+00 4.810975000000000000e+04
2.687604064457448594e+00 4.769215625000000000e+04
2.697924581231652574e+00 4.729617578125000000e+04
2.708245098005856555e+00 4.683395703125000000e+04
2.718565614780061424e+00 4.645710156250000000e+04
2.728886131554265404e+00 4.616531640625000000e+04
2.739206648328469829e+00 4.586689062500000000e+04
2.749527165102674253e+00 4.543621093750000000e+04
2.759847681876878678e+00 4.498345703125000000e+04
2.770168198651082658e+00 4.456869921875000000e+04
2.780488715425287527e+00 4.423723437500000000e+04
2.790809232199491507e+00 4.395442968750000000e+04
2.801129748973695488e+00 4.357465234375000000e+04
2.811450265747900357e+00 4.322271875000000000e+04
2.821770782522104337e+00 4.289245312500000000e+04
2.832091299296308318e+00 4.252650390625000000e+04
2.842411816070513186e+00 4.218560937500000000e+04
2.852732332844717167e+00 4.187862109375000000e+04
2.863052849618921147e+00 4.155123046875000000e+04
2.873373366393126016e+00 4.122810937500000000e+04
