,0,1,2,3
1.92,0.43892780940000004,0.0344301262,0.0933499456,0.2461666518
1.93,0.45355013590000004,0.046569872000000005,0.096795721,0.2191124976
1.94,0.4679025646,0.0610237385,0.10160495750000001,0.19299066450000002
1.95,0.48137113870000003,0.0778110515,0.1079419628,0.1687206271
1.96,0.4935443265,0.0963807348,0.11557215480000001,0.1466856774
1.97,0.5036980539,0.11656251640000001,0.1245207931,0.1277011073
1.98,0.5113879244,0.1377945028,0.134507651,0.1120192009
1.99,0.516192112,0.1596050669,0.1452897191,0.099850913
2.0,0.5173458502,0.181433632,0.15660234180000002,0.091687562
2.01,0.5149359947000001,0.2027435223,0.16806670540000002,0.08706764310000001
2.02,0.5082468591,0.2228727794,0.1793241382,0.0862955566
2.03,0.4974099829,0.2413205095,0.1900046408,0.08884501930000001
2.04,0.4824014934,0.2576140382,0.1997790224,0.0943766582
2.05,0.46296565180000004,0.2710485693,0.2081900126,0.10263344290000001
2.06,0.43978492960000004,0.281575742,0.2151108438,0.11282806690000001
2.07,0.4127076595,0.2884947566,0.22008358400000003,0.1246209696
2.08,0.3824732167,0.2918671892,0.22306126210000002,0.1372884219
2.09,0.3495339998,0.2915722846,0.22391874350000002,0.150306842
2.1,0.3143590256,0.287351049,0.22244711800000003,0.1630927165
2.11,0.2777971086,0.2797366821,0.2189233952,0.1752143501
2.12,0.2404073784,0.2685144508,0.2131799862,0.1861303141
2.13,0.20300645320000002,0.2543331895,0.2055860887,0.1955962853
2.14,0.1662646046,0.2375288758,0.19632695690000002,0.2033652674
2.15,0.13101726860000001,0.21848622720000002,0.1856189477,0.20917193890000002
2.16,0.09773243990000001,0.19794469050000002,0.17391349450000002,0.2131869314
2.17,0.0673628142,0.1763331601,0.1614532415,0.2152277437
2.18,0.040213131,0.1543806235,0.1486871314,0.2156429504
2.19,0.0168281768,0.1326454662,0.1359448591,0.21460841660000002
2.2,0.0,0.10950326140000001,0.1220504563,0.2051122578
2.21,0.0,0.0741991167,0.0992668258,0.1523498295
2.22,0.0,0.0464473649,0.0814373608,0.11660126920000001
2.23,0.0,0.0260505236,0.06838813070000001,0.0969927448
2.24,0.0,0.0136433744,0.0604845455,0.0946323699
2.25,0.0,0.0097913015,0.058029381500000005,0.11050423100000001
2.26,0.0,0.0136890299,0.0604545703,0.1427714807
2.27,0.0,0.0263067502,0.068296943,0.19341317090000001
2.28,0.018594947,0.0263671195,0.0665556769,0.1966003044
2.29,0.0418792247,0.0286496193,0.065666418,0.1991800018
2.3,0.0689683621,0.033611307300000004,0.0658805926,0.2032110813
2.31,0.0991218561,0.0407154782,0.066900518,0.2084679535
2.32,0.132278162,0.0498597604,0.06858340560000001,0.21493129190000002
2.33,0.16755412050000001,0.060362655700000004,0.07059951610000001,0.2221994646
2.34,0.2045512868,0.0718645129,0.0727377528,0.23002305110000001
2.35,0.2426765981,0.0838657756,0.0747488467,0.23802372130000002
2.36,0.2812974951,0.0959035195,0.0764642662,0.2458501267
2.37,0.3198040648,0.10747760860000001,0.0776494853,0.25304098410000003
2.38,0.3575934888,0.1182383624,0.0782514375,0.2593104815
2.39,0.3940313821,0.12779094430000001,0.07816153640000001,0.264279223
2.4,0.4284342779,0.135793777,0.0773458925,0.2676183579
2.41,0.4604466003,0.14217285270000002,0.075888601,0.2692664923
2.42,0.4890307304,0.1464875898,0.0737702709,0.268782978
2.43,0.5141360862000001,0.148948287,0.0711990852,0.2664010705
2.44,0.5350379838,0.1494162023,0.0682878317,0.26200481540000004
2.45,0.5512726186,0.1479690888,0.0652316368,0.2557153016
2.46,0.5629038998,0.1448859905,0.0622168425,0.24785960170000002
2.47,0.568869829,0.1401317466,0.059486278000000004,0.2384964632
2.48,0.5698289004,0.1341995721,0.0571956817,0.228177929
2.49,0.5652935433,0.1272710266,0.055561273700000004,0.2171956184
2.5,0.5553630273,0.1197008115,0.054753782300000005,0.2060084891
