# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  2.588250e+00    3.691159e+04
  2.598750e+00    3.923255e+04
  2.609250e+00    4.115673e+04
  2.619750e+00    4.218419e+04
  2.630250e+00    4.014399e+04
  2.640750e+00    4.078802e+04
  2.651250e+00    3.699777e+04
  2.661750e+00    3.296480e+04
  2.672250e+00    2.911884e+04
  2.682750e+00    2.380395e+04
  2.693250e+00    1.922268e+04
  2.703750e+00    1.461081e+04
  2.714250e+00    8.863068e+03
  2.724750e+00    5.557512e+03
  2.735250e+00    4.051966e+03
  2.745750e+00    3.150813e+03
  2.756250e+00    2.862128e+03
  2.766750e+00    2.753441e+03
  2.777250e+00    2.700591e+03
  2.787750e+00    2.664532e+03
  2.798250e+00    2.650172e+03
  2.808750e+00    2.633736e+03
  2.819250e+00    2.637447e+03
  2.829750e+00    2.631601e+03
  2.840250e+00    2.634686e+03
  2.850750e+00    2.642436e+03
  2.861250e+00    2.645701e+03
  2.871750e+00    2.679115e+03
  2.882250e+00    2.792790e+03
  2.892750e+00    2.860165e+03
  2.903250e+00    3.389304e+03
  2.913750e+00    4.306018e+03
  2.924250e+00    6.057580e+03
  2.934750e+00    7.959200e+03
  2.945250e+00    9.789148e+03
  2.955750e+00    1.326039e+04
  2.966250e+00    1.694316e+04
  2.976750e+00    1.656065e+04
  2.987250e+00    1.875266e+04
  2.997750e+00    2.043484e+04
  3.008250e+00    2.171249e+04
  3.018750e+00    2.344254e+04
  3.029250e+00    2.560221e+04
  3.039750e+00    2.255175e+04
  3.050250e+00    2.076055e+04
  3.060750e+00    2.031046e+04
  3.071250e+00    1.774088e+04
  3.081750e+00    1.510720e+04
  3.092250e+00    1.266068e+04
  3.102750e+00    1.007839e+04
  3.113250e+00    7.972737e+03
  3.123750e+00    5.238346e+03
  3.134250e+00    4.270548e+03
  3.144750e+00    3.216705e+03
  3.155250e+00    2.887443e+03
  3.165750e+00    2.731933e+03
  3.176250e+00    2.683687e+03
  3.186750e+00    2.660699e+03
  3.197250e+00    2.663151e+03
  3.207750e+00    2.662869e+03
  3.218250e+00    2.685166e+03
  3.228750e+00    2.744912e+03
  3.239250e+00    2.891176e+03
  3.249750e+00    3.294201e+03
  3.260250e+00    4.427854e+03
  3.270750e+00    6.259830e+03
  3.281250e+00    9.868441e+03
  3.291750e+00    1.411135e+04
  3.302250e+00    2.049512e+04
  3.312750e+00    2.548652e+04
  3.323250e+00    3.200197e+04
  3.333750e+00    3.584150e+04
  3.344250e+00    3.952906e+04
