# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  3.470250e+00    1.373951e+04
  3.480750e+00    9.000214e+03
  3.491250e+00    5.822438e+03
  3.501750e+00    3.926460e+03
  3.512250e+00    3.120278e+03
  3.522750e+00    2.741423e+03
  3.533250e+00    2.614001e+03
  3.543750e+00    2.575848e+03
  3.554250e+00    2.592852e+03
  3.564750e+00    2.672595e+03
  3.575250e+00    3.021437e+03
  3.585750e+00    3.765261e+03
  3.596250e+00    4.725974e+03
  3.606750e+00    7.057121e+03
  3.617250e+00    9.267315e+03
  3.627750e+00    1.304974e+04
  3.638250e+00    1.570202e+04
  3.648750e+00    2.004046e+04
  3.659250e+00    2.130715e+04
  3.669750e+00    2.390459e+04
  3.680250e+00    2.576229e+04
  3.690750e+00    2.565194e+04
  3.701250e+00    2.679707e+04
  3.711750e+00    2.629292e+04
  3.722250e+00    2.606922e+04
  3.732750e+00    2.422547e+04
  3.743250e+00    2.230397e+04
  3.753750e+00    1.986943e+04
  3.764250e+00    1.661031e+04
  3.774750e+00    1.378786e+04
  3.785250e+00    9.200660e+03
  3.795750e+00    6.453915e+03
  3.806250e+00    4.889570e+03
  3.816750e+00    3.728708e+03
  3.827250e+00    2.814872e+03
  3.837750e+00    2.548790e+03
  3.848250e+00    2.432789e+03
  3.858750e+00    2.395990e+03
  3.869250e+00    2.356306e+03
  3.879750e+00    2.338515e+03
  3.890250e+00    2.331447e+03
  3.900750e+00    2.325123e+03
  3.911250e+00    2.313749e+03
  3.921750e+00    2.320865e+03
  3.932250e+00    2.304997e+03
  3.942750e+00    2.308391e+03
  3.953250e+00    2.302245e+03
  3.963750e+00    2.297700e+03
  3.974250e+00    2.311501e+03
  3.984750e+00    2.292438e+03
  3.995250e+00    2.306275e+03
  4.005750e+00    2.302816e+03
  4.016250e+00    2.297401e+03
  4.026750e+00    2.298810e+03
  4.037250e+00    2.298520e+03
  4.047750e+00    2.295349e+03
  4.058250e+00    2.305436e+03
  4.068750e+00    2.294623e+03
  4.079250e+00    2.294051e+03
  4.089750e+00    2.300445e+03
  4.100250e+00    2.310050e+03
  4.110750e+00    2.313705e+03
  4.121250e+00    2.321926e+03
  4.131750e+00    2.352906e+03
  4.142250e+00    2.437379e+03
  4.152750e+00    2.613035e+03
  4.163250e+00    3.029124e+03
  4.173750e+00    3.793736e+03
  4.184250e+00    4.669781e+03
  4.194750e+00    5.916463e+03
  4.205250e+00    7.283999e+03
  4.215750e+00    8.973466e+03
  4.226250e+00    9.669708e+03
  4.236750e+00    1.008836e+04
  4.247250e+00    1.133321e+04
  4.257750e+00    1.253467e+04
  4.268250e+00    1.180606e+04
  4.278750e+00    1.226795e+04
  4.289250e+00    1.187529e+04
  4.299750e+00    1.138493e+04
  4.310250e+00    1.100068e+04
