File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00058.xy  00058      5.85621 0.000000045381     0.05294    10.33205     6.01005     4.69665     2.39170     5.86651     9.84387     5.80491     4.78810     2.81936    94.13349
scan-0116_TT_00059.xy  00059      5.74452 0.000000042451     0.05181    10.33428     6.00919     4.69685     2.32191     5.74265     9.84378     5.80505     4.78816     2.64809    94.25735
scan-0116_TT_00060.xy  00060      5.82544 0.000000045231     0.04245    10.33121     6.01075     4.69620     2.85964     4.70928     9.84394     5.80503     4.78809     2.70170    95.29072
scan-0116_TT_00061.xy  00061      5.96879 0.000000052363     0.04311    10.33274     6.00917     4.69651     3.81564     4.78251     9.84386     5.80497     4.78808     2.44834    95.21749
scan-0116_TT_00062.xy  00062      6.13980 0.000000056154     0.04700    10.33347     6.00907     4.69716     3.22946     5.21249     9.84370     5.80500     4.78809     2.65119    94.78751
scan-0116_TT_00063.xy  00063      6.37991 0.000000059284     0.05776    10.33396     6.01110     4.69625     4.54609     6.39909     9.84369     5.80497     4.78814     2.94597    93.60091
scan-0116_TT_00064.xy  00064      6.52872 0.000000058440     0.06066    10.32951     6.00986     4.69741     5.40571     6.71600     9.84370     5.80498     4.78812     2.99868    93.28400
scan-0116_TT_00065.xy  00065      6.31227 0.000000059031     0.05388    10.33162     6.01054     4.69633     3.38810     5.97059     9.84378     5.80494     4.78813     2.89288    94.02941
scan-0116_TT_00066.xy  00066      6.29134 0.000000061455     0.05338    10.33205     6.00969     4.69698     3.17139     5.91573     9.84364     5.80497     4.78811     2.70009    94.08427
scan-0116_TT_00067.xy  00067      6.36823 0.000000062741     0.07070    10.33291     6.00933     4.69770     3.46946     7.82082     9.84372     5.80497     4.78809     2.91608    92.17918
scan-0116_TT_00068.xy  00068      6.44296 0.000000063480     0.07835    10.33188     6.00949     4.69786     4.91725     8.65935     9.84363     5.80497     4.78807     2.75297    91.34065
scan-0116_TT_00069.xy  00069      6.39005 0.000000064283     0.07919    10.33103     6.00999     4.69776     3.90388     8.75125     9.84368     5.80501     4.78806     2.75172    91.24875
scan-0116_TT_00070.xy  00070      6.21518 0.000000062627     0.08027    10.33193     6.00974     4.69729     2.74900     8.86924     9.84378     5.80497     4.78806     2.76753    91.13076
